Abstract Loop,Loop Length,TM0 - BMT Count,TM0 - BMT Songs,TM0 - FMT Count,TM0 - FMT Songs,TM0 - BFMT Count,TM0 - BFMT Songs,TM0 - BFMF Count,TM0 - BFMF Songs,TM7 - BMT Count,TM7 - BMT Songs,TM7 - FMT Count,TM7 - FMT Songs,TM7 - BFMT Count,TM7 - BFMT Songs,TM7 - BFMF Count,TM7 - BFMF Songs,TM1 - BMT Count,TM1 - BMT Songs,TM1 - FMT Count,TM1 - FMT Songs,TM1 - BFMT Count,TM1 - BFMT Songs,TM1 - BFMF Count,TM1 - BFMF Songs,Total All Songs,Forms,Boundary Forms,# Abstract Licks,Average Licks Length,Min Lick Length,Max Lick Length,Average Reps,Song IDs,Files
5maj_7maj_5maj_7maj_10maj_7maj_5maj_7maj_7maj,9,0,0,0,0,0,0,17,3,0,0,0,0,0,0,24,7,0,0,0,0,0,0,24,7,8,"['c', 'i', 'o', 'p', 'u', 'v']",[],3,9.0,9,9,1.0,"['1039', '245', '457', '560', '610', '889', '968', '995']","['csv-results/entropyResults/loopsAnalysis/loopsAnalysis_entropyStats_ngrams-entropy_noKey_TriadMode7_BeatModeFalse_formModeFalse_1.1_0.25.csv', 'csv-results/entropyResults/loopsAnalysis/loopsAnalysis_entropyStats_ngrams-entropy_noKey_TriadMode7_BeatModeFalse_formModeFalse_1.1_0.25.csv', 'csv-results/entropyResults/loopsAnalysis/loopsAnalysis_entropyStats_ngrams-entropy_noKey_TriadMode0_BeatModeFalse_formModeFalse_1.1_0.25.csv', 'csv-results/entropyResults/loopsAnalysis/loopsAnalysis_entropyStats_ngrams-entropy_noKey_TriadMode0_BeatModeFalse_formModeFalse_1.1_0.25.csv', 'csv-results/entropyResults/loopsAnalysis/loopsAnalysis_entropyStats_ngrams-entropy_noKey_TriadMode1_BeatModeFalse_formModeFalse_1.1_0.25.csv', 'csv-results/entropyResults/loopsAnalysis/loopsAnalysis_entropyStats_ngrams-entropy_noKey_TriadMode1_BeatModeFalse_formModeFalse_1.1_0.25.csv']"
2maj_5maj_5maj_7maj_5maj_7maj_5maj_7maj_5maj,9,0,0,0,0,0,0,13,7,0,0,0,0,0,0,14,12,0,0,0,0,0,0,0,0,17,"['b', 'c', 'd', 'l', 'o', 'p', 'u', 'v']","['cb', 'to', 'tv']",2,10.5,11,11,1.1666666666666667,"['1069', '1119', '1203', '1208', '183', '203', '212', '246', '30', '403', '417', '468', '477', '752', '830', '928', '973']","['csv-results/entropyResults/loopsAnalysis/loopsAnalysis_entropyStats_ngrams-entropy_noKey_TriadMode7_BeatModeFalse_formModeFalse_1.1_0.25.csv', 'csv-results/entropyResults/loopsAnalysis/loopsAnalysis_entropyStats_ngrams-entropy_noKey_TriadMode7_BeatModeFalse_formModeFalse_1.1_0.25.csv', 'csv-results/entropyResults/loopsAnalysis/loopsAnalysis_entropyStats_ngrams-entropy_noKey_TriadMode0_BeatModeFalse_formModeFalse_1.1_0.25.csv', 'csv-results/entropyResults/loopsAnalysis/loopsAnalysis_entropyStats_ngrams-entropy_noKey_TriadMode0_BeatModeFalse_formModeFalse_1.1_0.25.csv']"
2maj_5maj_5maj_2maj_5maj_5maj_2maj_5maj_5maj,9,0,0,12,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,['c'],[],1,9.0,9,9,1.0,"['1040', '385', '465', '620', '66']","['csv-results/entropyResults/loopsAnalysis/loopsAnalysis_entropyStats_ngrams-entropy_noKey_TriadMode0_BeatModeFalse_formModeTrue_1.1_0.25.csv', 'csv-results/entropyResults/loopsAnalysis/loopsAnalysis_entropyStats_ngrams-entropy_noKey_TriadMode0_BeatModeFalse_formModeTrue_1.1_0.25.csv']"
27_10maj7_7maj_7maj_10maj_7maj_9min7_8maj7,8,0,0,0,0,0,0,0,0,6,1,12,1,12,1,6,1,6,1,12,1,12,1,6,1,1,"['c', 'd', 'i']",[],8,12.0,16,16,1.5,['705'],"['csv-results/entropyResults/loopsAnalysis/loopsAnalysis_entropyStats_ngrams-entropy_noKey_TriadMode1_BeatModeTrue_formModeFalse_1.1_0.25.csv', 'csv-results/entropyResults/loopsAnalysis/loopsAnalysis_entropyStats_ngrams-entropy_noKey_TriadMode1_BeatModeTrue_formModeFalse_1.1_0.25.csv', 'csv-results/entropyResults/loopsAnalysis/loopsAnalysis_entropyStats_ngrams-entropy_noKey_TriadMode1_BeatModeFalse_formModeTrue_1.1_0.25.csv', 'csv-results/entropyResults/loopsAnalysis/loopsAnalysis_entropyStats_ngrams-entropy_noKey_TriadMode1_BeatModeFalse_formModeTrue_1.1_0.25.csv', 'csv-results/entropyResults/loopsAnalysis/loopsAnalysis_entropyStats_ngrams-entropy_noKey_TriadMode7_BeatModeTrue_formModeTrue_1.1_0.25.csv', 'csv-results/entropyResults/loopsAnalysis/loopsAnalysis_entropyStats_ngrams-entropy_noKey_TriadMode7_BeatModeTrue_formModeTrue_1.1_0.25.csv', 'csv-results/entropyResults/loopsAnalysis/loopsAnalysis_entropyStats_ngrams-entropy_noKey_TriadMode1_BeatModeFalse_formModeFalse_1.1_0.25.csv', 'csv-results/entropyResults/loopsAnalysis/loopsAnalysis_entropyStats_ngrams-entropy_noKey_TriadMode1_BeatModeFalse_formModeFalse_1.1_0.25.csv', 'csv-results/entropyResults/loopsAnalysis/loopsAnalysis_entropyStats_ngrams-entropy_noKey_TriadMode7_BeatModeFalse_formModeFalse_1.1_0.25.csv', 'csv-results/entropyResults/loopsAnalysis/loopsAnalysis_entropyStats_ngrams-entropy_noKey_TriadMode7_BeatModeFalse_formModeFalse_1.1_0.25.csv', 'csv-results/entropyResults/loopsAnalysis/loopsAnalysis_entropyStats_ngrams-entropy_noKey_TriadMode7_BeatModeFalse_formModeTrue_1.1_0.25.csv', 'csv-results/entropyResults/loopsAnalysis/loopsAnalysis_entropyStats_ngrams-entropy_noKey_TriadMode7_BeatModeFalse_formModeTrue_1.1_0.25.csv', 'csv-results/entropyResults/loopsAnalysis/loopsAnalysis_entropyStats_ngrams-entropy_noKey_TriadMode1_BeatModeTrue_formModeTrue_1.1_0.25.csv', 'csv-results/entropyResults/loopsAnalysis/loopsAnalysis_entropyStats_ngrams-entropy_noKey_TriadMode1_BeatModeTrue_formModeTrue_1.1_0.25.csv', 'csv-results/entropyResults/loopsAnalysis/loopsAnalysis_entropyStats_ngrams-entropy_noKey_TriadMode7_BeatModeTrue_formModeFalse_1.1_0.25.csv', 'csv-results/entropyResults/loopsAnalysis/loopsAnalysis_entropyStats_ngrams-entropy_noKey_TriadMode7_BeatModeTrue_formModeFalse_1.1_0.25.csv']"
5maj_7maj_7maj_10maj_7maj_7maj_10maj_7maj,8,0,0,0,0,0,0,25,14,0,0,0,0,0,0,17,9,0,0,0,0,0,0,0,0,14,"['b', 'c', 'l', 'o', 't', 'v']",[],3,6.166666666666667,9,10,1.1666666666666667,"['130', '162', '268', '314', '358', '383', '455', '50', '545', '577', '67', '852', '886', '946']","['csv-results/entropyResults/loopsAnalysis/loopsAnalysis_entropyStats_ngrams-entropy_noKey_TriadMode7_BeatModeFalse_formModeFalse_1.1_0.25.csv', 'csv-results/entropyResults/loopsAnalysis/loopsAnalysis_entropyStats_ngrams-entropy_noKey_TriadMode7_BeatModeFalse_formModeFalse_1.1_0.25.csv', 'csv-results/entropyResults/loopsAnalysis/loopsAnalysis_entropyStats_ngrams-entropy_noKey_TriadMode0_BeatModeFalse_formModeFalse_1.1_0.25.csv', 'csv-results/entropyResults/loopsAnalysis/loopsAnalysis_entropyStats_ngrams-entropy_noKey_TriadMode0_BeatModeFalse_formModeFalse_1.1_0.25.csv']"
2maj_10maj_7maj_7maj_10maj_7maj_9min_8maj,8,6,1,12,1,12,1,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,"['c', 'd', 'i']",[],7,6.357142857142857,8,8,1.4642857142857142,"['705', '992']","['csv-results/entropyResults/loopsAnalysis/loopsAnalysis_entropyStats_ngrams-entropy_noKey_TriadMode0_BeatModeTrue_formModeFalse_1.1_0.25.csv', 'csv-results/entropyResults/loopsAnalysis/loopsAnalysis_entropyStats_ngrams-entropy_noKey_TriadMode0_BeatModeTrue_formModeFalse_1.1_0.25.csv', 'csv-results/entropyResults/loopsAnalysis/loopsAnalysis_entropyStats_ngrams-entropy_noKey_TriadMode0_BeatModeFalse_formModeFalse_1.1_0.25.csv', 'csv-results/entropyResults/loopsAnalysis/loopsAnalysis_entropyStats_ngrams-entropy_noKey_TriadMode0_BeatModeFalse_formModeFalse_1.1_0.25.csv', 'csv-results/entropyResults/loopsAnalysis/loopsAnalysis_entropyStats_ngrams-entropy_noKey_TriadMode0_BeatModeFalse_formModeTrue_1.1_0.25.csv', 'csv-results/entropyResults/loopsAnalysis/loopsAnalysis_entropyStats_ngrams-entropy_noKey_TriadMode0_BeatModeFalse_formModeTrue_1.1_0.25.csv', 'csv-results/entropyResults/loopsAnalysis/loopsAnalysis_entropyStats_ngrams-entropy_noKey_TriadMode0_BeatModeTrue_formModeTrue_1.1_0.25.csv', 'csv-results/entropyResults/loopsAnalysis/loopsAnalysis_entropyStats_ngrams-entropy_noKey_TriadMode0_BeatModeTrue_formModeTrue_1.1_0.25.csv']"
2maj_5maj_7maj_5maj_7maj_5maj_7maj_10maj,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,6,0,0,0,0,0,0,20,6,6,"['c', 'i', 'l', 'o', 'v']",['cu'],2,8.0,8,8,1.0,"['21', '234', '293', '351', '891', '968']","['csv-results/entropyResults/loopsAnalysis/loopsAnalysis_entropyStats_ngrams-entropy_noKey_TriadMode7_BeatModeFalse_formModeFalse_1.1_0.25.csv', 'csv-results/entropyResults/loopsAnalysis/loopsAnalysis_entropyStats_ngrams-entropy_noKey_TriadMode7_BeatModeFalse_formModeFalse_1.1_0.25.csv', 'csv-results/entropyResults/loopsAnalysis/loopsAnalysis_entropyStats_ngrams-entropy_noKey_TriadMode1_BeatModeFalse_formModeFalse_1.1_0.25.csv', 'csv-results/entropyResults/loopsAnalysis/loopsAnalysis_entropyStats_ngrams-entropy_noKey_TriadMode1_BeatModeFalse_formModeFalse_1.1_0.25.csv']"
2maj_10maj_7maj_5maj_7maj_5maj_7maj_5maj,8,27,13,28,6,0,0,16,6,0,0,27,5,0,0,13,7,0,0,27,5,0,0,12,6,18,"['b', 'c', 'l', 'o', 'p', 's', 'v']",['cv'],7,8.0,8,8,1.0,"['1102', '1119', '1134', '1177', '1193', '139', '162', '215', '246', '29', '50', '518', '561', '623', '668', '807', '900', '995']","['csv-results/entropyResults/loopsAnalysis/loopsAnalysis_entropyStats_ngrams-entropy_noKey_TriadMode0_BeatModeTrue_formModeFalse_1.1_0.25.csv', 'csv-results/entropyResults/loopsAnalysis/loopsAnalysis_entropyStats_ngrams-entropy_noKey_TriadMode0_BeatModeTrue_formModeFalse_1.1_0.25.csv', 'csv-results/entropyResults/loopsAnalysis/loopsAnalysis_entropyStats_ngrams-entropy_noKey_TriadMode1_BeatModeFalse_formModeTrue_1.1_0.25.csv', 'csv-results/entropyResults/loopsAnalysis/loopsAnalysis_entropyStats_ngrams-entropy_noKey_TriadMode1_BeatModeFalse_formModeTrue_1.1_0.25.csv', 'csv-results/entropyResults/loopsAnalysis/loopsAnalysis_entropyStats_ngrams-entropy_noKey_TriadMode0_BeatModeFalse_formModeTrue_1.1_0.25.csv', 'csv-results/entropyResults/loopsAnalysis/loopsAnalysis_entropyStats_ngrams-entropy_noKey_TriadMode0_BeatModeFalse_formModeTrue_1.1_0.25.csv', 'csv-results/entropyResults/loopsAnalysis/loopsAnalysis_entropyStats_ngrams-entropy_noKey_TriadMode7_BeatModeFalse_formModeFalse_1.1_0.25.csv', 'csv-results/entropyResults/loopsAnalysis/loopsAnalysis_entropyStats_ngrams-entropy_noKey_TriadMode7_BeatModeFalse_formModeFalse_1.1_0.25.csv', 'csv-results/entropyResults/loopsAnalysis/loopsAnalysis_entropyStats_ngrams-entropy_noKey_TriadMode0_BeatModeFalse_formModeFalse_1.1_0.25.csv', 'csv-results/entropyResults/loopsAnalysis/loopsAnalysis_entropyStats_ngrams-entropy_noKey_TriadMode0_BeatModeFalse_formModeFalse_1.1_0.25.csv', 'csv-results/entropyResults/loopsAnalysis/loopsAnalysis_entropyStats_ngrams-entropy_noKey_TriadMode7_BeatModeFalse_formModeTrue_1.1_0.25.csv', 'csv-results/entropyResults/loopsAnalysis/loopsAnalysis_entropyStats_ngrams-entropy_noKey_TriadMode7_BeatModeFalse_formModeTrue_1.1_0.25.csv', 'csv-results/entropyResults/loopsAnalysis/loopsAnalysis_entropyStats_ngrams-entropy_noKey_TriadMode1_BeatModeFalse_formModeFalse_1.1_0.25.csv', 'csv-results/entropyResults/loopsAnalysis/loopsAnalysis_entropyStats_ngrams-entropy_noKey_TriadMode1_BeatModeFalse_formModeFalse_1.1_0.25.csv']"
5maj_5maj_7maj_5maj_7maj_5maj_7maj_7maj,8,0,0,33,15,0,0,21,16,0,0,0,0,0,0,29,21,0,0,0,0,0,0,56,33,45,"['b', 'c', 'd', 'l', 'o', 'p', 'u', 'v']",['vo'],8,4.375,8,9,1.125,"['1018', '1063', '1069', '1071', '1100', '1116', '1117', '1119', '1135', '1149', '1193', '1203', '1208', '1248', '130', '183', '203', '21', '212', '246', '330', '351', '356', '403', '41', '417', '425', '455', '468', '477', '50', '559', '591', '610', '615', '619', '678', '752', '788', '830', '845', '889', '928', '973', '991']","['csv-results/entropyResults/loopsAnalysis/loopsAnalysis_entropyStats_ngrams-entropy_noKey_TriadMode7_BeatModeFalse_formModeFalse_1.1_0.25.csv', 'csv-results/entropyResults/loopsAnalysis/loopsAnalysis_entropyStats_ngrams-entropy_noKey_TriadMode7_BeatModeFalse_formModeFalse_1.1_0.25.csv', 'csv-results/entropyResults/loopsAnalysis/loopsAnalysis_entropyStats_ngrams-entropy_noKey_TriadMode0_BeatModeFalse_formModeFalse_1.1_0.25.csv', 'csv-results/entropyResults/loopsAnalysis/loopsAnalysis_entropyStats_ngrams-entropy_noKey_TriadMode0_BeatModeFalse_formModeFalse_1.1_0.25.csv', 'csv-results/entropyResults/loopsAnalysis/loopsAnalysis_entropyStats_ngrams-entropy_noKey_TriadMode0_BeatModeFalse_formModeTrue_1.1_0.25.csv', 'csv-results/entropyResults/loopsAnalysis/loopsAnalysis_entropyStats_ngrams-entropy_noKey_TriadMode0_BeatModeFalse_formModeTrue_1.1_0.25.csv', 'csv-results/entropyResults/loopsAnalysis/loopsAnalysis_entropyStats_ngrams-entropy_noKey_TriadMode1_BeatModeFalse_formModeFalse_1.1_0.25.csv', 'csv-results/entropyResults/loopsAnalysis/loopsAnalysis_entropyStats_ngrams-entropy_noKey_TriadMode1_BeatModeFalse_formModeFalse_1.1_0.25.csv']"
5maj_5maj_7maj_7maj_5maj_7maj_5maj_7maj,8,0,0,0,0,0,0,15,9,0,0,0,0,0,0,17,8,0,0,0,0,0,0,17,8,13,"['b', 'c', 'd', 'l', 'o', 'u', 'v']","['tb', 'to', 'tv', 'uv']",8,3.9375,10,11,1.3125,"['1006', '1009', '126', '1281', '130', '133', '167', '191', '23', '452', '559', '570', '941']","['csv-results/entropyResults/loopsAnalysis/loopsAnalysis_entropyStats_ngrams-entropy_noKey_TriadMode7_BeatModeFalse_formModeFalse_1.1_0.25.csv', 'csv-results/entropyResults/loopsAnalysis/loopsAnalysis_entropyStats_ngrams-entropy_noKey_TriadMode7_BeatModeFalse_formModeFalse_1.1_0.25.csv', 'csv-results/entropyResults/loopsAnalysis/loopsAnalysis_entropyStats_ngrams-entropy_noKey_TriadMode0_BeatModeFalse_formModeFalse_1.1_0.25.csv', 'csv-results/entropyResults/loopsAnalysis/loopsAnalysis_entropyStats_ngrams-entropy_noKey_TriadMode0_BeatModeFalse_formModeFalse_1.1_0.25.csv', 'csv-results/entropyResults/loopsAnalysis/loopsAnalysis_entropyStats_ngrams-entropy_noKey_TriadMode1_BeatModeFalse_formModeFalse_1.1_0.25.csv', 'csv-results/entropyResults/loopsAnalysis/loopsAnalysis_entropyStats_ngrams-entropy_noKey_TriadMode1_BeatModeFalse_formModeFalse_1.1_0.25.csv']"
