Abstract Loop,Loop Length,Total Songs,Sorted Songs,Prog IDs,Prog Counts,Boundary?,Form Count,Forms
2sus4(b7|9)_10maj6(9)_,2,1, 736, 165,1,False,1,u
3maj_7maj_4min7_10min7_,4,1, 341, 50,1,False,1,c
3maj_9min(11)_,2,2, 415 920, 170 19,2,False,1,c
4min7_10maj(11)_10maj_,3,1, 555, 188,1,False,1,c
57_57_77_77_,4,8, 1024 1193 1247 289 383 455 672 792, 6,1,False,1,l
57_77_,2,7, 1149 115 1168 1193 391 510 890, 9,1,False,1,v
57_77_77_107_77_,5,9, 1125 1134 115 1193 214 314 425 510 792, 10,1,False,1,v
57_7min7_,2,3, 490 691 834, 189 5,2,False,1,c
5maj_5maj_7maj_77_,4,19, 1041 1063 1072 1107 1116 123 1248 167 185 358 386 399 472 570 696 787 875 969 993, 12 127 13 140,4,False,1,v
5maj_5maj_7maj_7maj_,4,3, 191 23 559, 92,1,False,1,c
5maj_5maj_9min_5min_,4,2, 728 926, 181 21,2,False,1,c
5maj_77_,2,9, 1037 1072 1107 1203 1248 185 678 788 822, 141,1,False,1,v
5maj_7maj_,2,54, 1018 1061 1071 1100 1113 1117 1119 1139 1142 1177 1180 126 1281 139 147 187 191 203 208 215 229 234 246 254 29 293 318 330 351 4 41 417 456 468 477 492 559 560 561 591 610 615 619 662 674 752 758 803 807 864 91 941 968 979, 101 102 104 105 106 107 135 136 137 151 152 153 55 56 57 58 64 65 68 90 93 94 95 96,24,False,5,c,d,l,o,v
5maj_7min_,2,4, 100 134 300 917, 178,1,False,1,c
5min_8maj_117_,3,4, 238 248 658 834, 29,1,False,1,c
77_10maj_7maj_,3,1, 430, 157 162 7 8,4,False,1,v
77_77_107_,3,9, 1125 1134 115 1193 214 314 425 510 792, 15,1,False,1,v
7maj_7maj_10maj7_,3,1, 705, 169,1,False,1,c
7maj_7maj_10maj_,3,26, 1002 1032 1086 1246 1249 1265 162 187 206 209 268 317 389 406 555 560 589 67 675 74 75 762 810 852 886 991, 100 108 109 113 114 143 144 145 146 154 155 156 24 25 26 28 66 69 70 71 97 98 99,23,False,3,c,o,v
7maj_9min7_10maj(11)_10maj_,4,1, 555, 22,1,False,1,c
