Abstract Loop,Loop Length,Total Songs,Sorted Songs,Prog IDs,Prog Counts,Boundary?,Form Count,Forms
2maj_5maj_5maj_,3,56, 101 1040 1045 1104 1190 1203 1208 1239 148 19 212 217 224 231 235 249 254 280 290 294 30 300 324 325 355 372 385 387 401 421 427 43 443 448 465 467 555 589 615 620 623 66 690 71 72 720 729 758 785 791 798 83 838 843 845 973, 103 104 105 113 114 115 144 145 146 151 152 153 163 164 165 43 44 45 46 47 61 62 63 64 76 77 78 79 80,29,False,4,c,d,o,v
2maj_5maj_7maj_10maj_,4,17, 1031 1142 1289 150 183 198 21 258 300 349 385 6 656 794 81 821 834, 100 101 127 147 187 26 27 48 49 66 67,11,False,2,c,v
2maj_5maj_9min_8maj_,4,32, 1063 1094 112 119 1210 1228 1270 145 157 19 198 253 355 371 401 434 465 484 511 54 543 549 568 571 572 587 620 623 67 749 964 992, 108 123 148 159 160 192 202 22 50 74,10,False,3,c,i,v
2maj_7maj_3maj_,3,3, 1062 414 699, 32 60,2,False,1,c
2min7_10maj7_,2,3, 511 528 984, 213,1,False,1,v
2min7_5maj_5maj_,3,4, 1192 1292 228 791, 215,1,False,1,v
2min7_5min7_5min7_,3,2, 1056 631, 208,1,False,1,c
2min_10maj_,2,19, 1073 1173 217 246 294 320 478 481 51 542 608 62 629 749 797 812 932 945 947, 150 193 203 54,4,False,2,c,v
2min_3maj_7maj_,3,3, 1203 397 747, 194,1,False,1,c
2min_5maj_5maj_,3,5, 369 729 767 872 917, 204,1,False,1,v
2nc_2nc_8nc_,3,2, 352 913, 217 218 219,3,False,1,v
2sus_5maj_5maj_,3,5, 1033 1188 1200 1218 46, 222 58,2,False,1,c
3maj_9min7_,2,2, 390 670, 124,1,False,1,v
3maj_9min_,2,8, 112 1270 1292 228 250 404 549 920, 197 21,2,False,2,c,d
3maj_9min_8maj_7maj_9min_,5,3, 310 814 902, 182,1,False,1,v
57_77_,2,8, 1149 115 1168 1193 356 391 510 890, 11,1,False,1,v
57_77_77_107_77_,5,14, 1125 1134 115 1193 1247 214 289 314 383 425 455 510 672 792, 12 6,2,False,2,l,v
57_7min7_,2,12, 1127 1174 288 445 483 490 627 691 70 748 834 925, 2 209 210 211 214 3 4,7,False,2,c,v
5maj_5maj_5maj_9min_,4,5, 109 330 546 842 843, 195,1,False,1,c
5maj_5maj_7maj_5maj_7maj_7maj_,6,14, 1018 1066 1100 1117 123 130 133 183 212 619 678 807 845 973, 154,1,False,1,v
5maj_5maj_7maj_77_,4,15, 1072 1107 1116 1141 1248 160 167 207 399 472 570 731 787 875 993, 14 169 83,3,False,2,c,v
5maj_5maj_7maj_77_5maj_77_,6,6, 1116 1194 570 787 788 822, 176,1,False,1,v
5maj_5maj_7maj_7maj_,4,15, 1228 1281 191 23 347 41 555 559 560 591 71 798 809 905 941, 116 65 71 72 73 86 92 93,8,False,2,c,o
5maj_7maj_,2,43, 1009 1018 1061 1071 1100 1113 1117 1119 1139 1177 1180 139 147 191 203 207 21 229 234 245 246 254 293 318 330 41 425 452 468 477 492 559 560 610 619 662 674 752 879 900 91 967 968, 106 111 155 156 157 171 172 173 68 69 70 87 88 89,14,False,4,c,d,l,v
5maj_7maj_5maj_7maj_7maj_10maj_7maj_,7,10, 10 1135 139 187 215 29 560 561 707 995, 29,1,False,1,c
5maj_7maj_7maj_10maj_7maj_,5,17, 1135 12 162 187 246 366 484 560 610 67 699 707 852 889 948 952 995, 158 174 96,3,False,2,c,v
5min_7min_,2,6, 1082 1101 40 433 482 637, 196,1,False,1,c
5nc_7nc_,2,3, 1106 594 777, 216,1,False,1,c
77_10maj_7maj_,3,14, 1287 235 346 358 366 430 432 706 748 773 779 886 900 993, 10 170 175 5 9,5,False,3,d,o,v
77_77_107_,3,14, 1125 1134 115 1193 1247 214 289 314 383 425 455 510 672 792, 16 7 8,3,False,2,l,v
7maj_7maj_10maj_,3,50, 100 1002 1034 107 1086 1177 12 1208 1249 1265 128 130 162 187 206 209 246 271 300 317 366 389 406 484 50 53 545 555 560 589 621 655 67 675 690 699 71 74 75 762 810 852 886 889 901 946 948 952 991 995, 107 109 112 117 128 129 130 131 132 177 178 179 180 181 183 184 185 186 30 31 90 91 97 98 99,25,False,5,c,d,l,o,v
7maj_9min_10maj_10maj_,4,3, 1011 1177 952, 94,1,False,1,c
