Abstract Loop,Loop Length,Total Songs,Sorted Songs,Prog IDs,Prog Counts,Boundary?,Form Count,Forms
2maj_5maj_5maj_,3,64, 101 1040 1043 1045 1072 1104 1143 1154 1161 1190 1203 1208 1248 148 217 222 224 23 231 235 249 254 290 293 30 324 325 372 385 387 410 421 427 43 443 448 463 465 467 472 477 500 555 589 615 620 66 689 690 71 72 720 726 729 758 779 785 788 791 798 838 843 845 915, 100 101 117 118 119 125 150 151 165 166 167 187 188 189 28 29 30 31 48 49 50 51 52 6 68 69 70 71 72 99,30,False,6,b,c,d,o,p,v
2maj_5maj_5maj_2maj_5maj_5maj_2maj_5maj_5maj_,9,7, 1040 385 465 477 620 66 791, 149,1,False,1,c
2maj_5maj_5maj_7maj_5maj_,5,8, 1141 124 212 246 296 372 403 555, 195,1,False,1,v
2maj_5maj_7maj_10maj_,4,18, 1031 1142 1289 150 183 198 21 258 300 349 385 464 6 656 794 81 821 834, 13 135 14 152 215 32 33 54 55 94 95,11,False,2,c,v
2maj_5maj_9min_8maj_,4,40, 1046 1063 1094 112 119 120 1210 1228 1232 1270 145 157 169 19 198 250 253 267 278 355 371 401 434 465 484 511 54 543 549 568 571 572 587 598 620 623 67 749 914 992, 1 11 131 153 180 181 234 250 34 64,10,False,3,c,i,v
2maj_5maj_9min_8min_,4,2, 157 386, 132 251,2,False,1,v
2maj_7maj_3maj_,3,10, 1062 212 290 414 476 625 688 699 824 841, 143 162 194 20 21 45 46 77,8,False,2,c,v
2mct_2mct_8mct_,3,3, 217 352 913, 222 227 228,3,False,1,v
2mct_2min_8maj_,3,2, 44 775, 235 35,2,False,1,c
2mct_5maj_5maj_,3,5, 1033 1188 1200 1218 46, 36 74,2,False,1,c
2mct_7mct_3mct_,3,2, 1106 353, 229,1,False,1,v
2min_10maj_,2,20, 1061 1073 1124 246 294 307 320 478 481 51 528 542 608 62 629 797 812 932 945 947, 156 157 158 159 236 252 253 254 41,9,False,2,c,v
2min_3maj_7maj_5maj_7maj_,5,3, 1064 160 492, 42,1,False,1,c
2min_5maj_5maj_,3,7, 1027 1138 1192 410 729 767 984, 160 161 192 256,4,False,1,v
2min_5min_5min_,3,3, 1003 482 631, 241,1,False,1,c
3maj_7maj_4min_10min_,4,2, 1044 341, 47,1,False,1,c
3maj_9min_,2,9, 1020 112 1270 1292 228 250 404 818 920, 237 242 7 8,4,False,2,c,d
3maj_9min_8maj_7maj_9min_,5,4, 310 390 814 902, 209,1,False,1,v
5maj_11min_10min_10maj_,4,7, 1177 1218 1221 1257 637 973 993, 67,1,False,1,c
5maj_5maj_5maj_9min_,4,9, 109 1220 224 296 380 546 777 827 843, 182 65 9,3,False,2,c,v
5maj_5maj_7maj_5maj_7maj_5maj_7maj_7maj_,8,15, 1018 1063 1100 1116 1117 1149 1193 1248 183 403 619 678 788 845 973, 169,1,False,1,v
5maj_5maj_7maj_5maj_7maj_7maj_,6,27, 1018 1063 1066 1100 1116 1117 1149 1193 1194 123 1248 130 133 183 212 386 403 510 606 619 678 700 788 807 845 890 973, 168 196,2,False,1,v
5maj_5maj_7maj_7maj_,4,49, 1006 1024 1054 1072 1107 1110 1116 1141 1228 124 1248 126 130 149 167 185 19 191 23 347 399 451 452 457 472 545 559 560 570 59 591 638 678 68 71 731 787 788 798 802 809 83 853 864 875 905 915 941 993, 170 175 206 53 59 60 61 79 84 85 86 87,12,False,2,c,v
5maj_5maj_7maj_7maj_5maj_7maj_,6,11, 1024 1110 1116 149 452 457 678 787 809 889 941, 171 176 177 207 208,5,False,1,v
5maj_5maj_9maj_5min_,4,4, 1138 1188 691 789, 63,1,False,1,c
5maj_5maj_9min_5min_,4,11, 1161 1245 127 218 315 484 728 831 834 926 986, 10 183 238 240 257 66,6,False,2,c,v
5maj_7maj_,2,58, 1009 1018 1061 1071 1100 1113 1117 1119 1134 1139 1177 1180 139 191 203 207 21 234 244 245 246 254 293 330 356 391 403 41 425 452 456 457 468 477 492 53 559 560 585 610 619 662 674 706 752 79 847 879 889 891 900 91 943 952 967 968 991 995, 102 111 112 114 129 130 172 173 174 197 198 199 56 57 58 80,16,False,5,c,d,l,u,v
5maj_7maj_5maj_7maj_,4,17, 1018 1066 1139 183 246 330 391 403 417 434 452 501 591 674 752 818 830, 107,1,False,1,v
5maj_7maj_5maj_7maj_7maj_10maj_7maj_,7,12, 10 1134 1135 139 187 215 29 518 560 561 707 995, 16,1,False,1,c
5maj_7maj_7maj_10maj_7maj_,5,37, 1125 1134 1135 115 1193 12 1247 1287 162 187 214 246 289 314 322 366 383 425 455 484 510 518 560 577 610 67 672 699 707 773 792 852 889 900 948 952 995, 113 178 179 200 201 210 62 81 90,9,False,3,c,l,v
5maj_7min_,2,19, 1032 1124 1174 1292 195 228 306 384 445 483 490 627 70 78 834 85 872 925 981, 216 217 239 243 244 258 259 97 98,9,False,4,c,d,i,v
5mct_7mct_,2,3, 1106 594 777, 220,1,False,1,c
5min_7maj_,2,5, 1013 104 4 456 798, 260,1,False,1,v
7maj_7maj_10maj_,3,73, 100 1002 1034 107 1082 1086 1114 1125 115 1177 1193 1208 1247 1249 1265 128 1282 130 15 150 162 187 206 209 268 271 289 300 314 317 358 366 383 389 406 407 425 430 455 50 53 545 555 560 577 589 621 640 655 67 672 675 690 705 706 71 74 75 762 792 810 852 853 886 889 901 929 943 946 948 991 993 995, 103 104 108 115 116 120 126 127 136 137 138 139 140 17 18 19 202 203 204 205 211 212 213 214 82 83 91 92 93,29,False,6,c,d,l,o,s,v
7maj_9min_10maj_10maj_,4,4, 1011 1177 555 952, 89,1,False,1,c
