Abstract Loop,Loop Length,Total Songs,Sorted Songs,Prog IDs,Prog Counts,Boundary?,Form Count,Forms
2sus_57_5maj_,3,2, 1149 222, 203,1,False,1,v
2sus_5maj_5maj_,3,8, 1200 222 385 46 543 775 81 944, 102 129,2,False,2,l,v
3maj_7maj_4min7_10min7_,4,1, 341, 48,1,False,1,c
3maj_9min_,2,4, 1286 228 415 920, 18 185 19,3,False,1,c
57_57_77_77_,4,8, 1024 1193 1247 289 383 455 672 792, 5,1,False,1,l
57_77_,2,7, 1149 115 1168 1193 391 510 890, 8,1,False,1,v
57_77_77_107_77_,5,9, 1125 1134 115 1193 214 314 425 510 792, 9,1,False,1,v
57_7min7_,2,8, 1127 1174 483 490 691 70 834 925, 1 192 193 194 2 4,6,False,1,c
5maj_5maj_7maj_77_,4,20, 1041 1063 1072 1107 1116 123 1248 167 185 358 386 399 472 570 59 696 787 875 969 993, 11 12 130 143,4,False,1,v
5maj_5maj_7maj_7maj_,4,3, 191 23 559, 89,1,False,1,c
5maj_5maj_9min_5min_,4,2, 728 926, 186 20,2,False,1,c
5maj_7maj_,2,54, 1018 1061 1071 1100 1113 1117 1119 1139 1142 1177 1180 126 1281 139 147 187 191 203 208 215 229 234 246 254 29 293 318 330 351 4 41 417 456 468 477 492 559 560 561 591 610 615 619 662 674 752 758 803 807 864 91 941 968 979, 103 104 105 106 138 139 140 157 158 159 53 54 55 56 62 63 66 87 90 91 92 93 98 99,24,False,5,c,d,l,o,v
5maj_7min_,2,4, 100 134 300 917, 182,1,False,1,c
5min_8maj_117_,3,4, 238 248 658 834, 28,1,False,1,c
77_10maj_7maj_,3,1, 430, 163 168 6,3,False,1,v
77_77_107_,3,9, 1125 1134 115 1193 214 314 425 510 792, 14,1,False,1,v
7maj_7maj_10maj7_,3,1, 705, 174,1,False,1,c
7maj_7maj_10maj_,3,29, 1002 1032 107 1086 1246 1249 1265 162 187 206 209 268 317 389 406 555 560 589 67 675 690 74 75 762 810 852 886 889 991, 101 107 108 112 113 145 146 147 148 149 160 161 162 23 24 25 27 64 67 68 69 94 95 96 97,25,False,4,c,l,o,v
7maj_9min7_10maj_10maj_,4,1, 555, 21,1,False,1,c
