Abstract Loop,Loop Length,Total Songs,Sorted Songs,Prog IDs,Prog Counts,Boundary?,Form Count,Forms
2maj_3maj_7maj_,3,4, 114 1246 370 567, 64 89,2,False,1,c
2maj_5maj_2min_3maj_,4,4, 1044 258 349 94, 197,1,False,1,c
2maj_5maj_5maj_,3,55, 101 1040 1045 1104 1190 1203 1208 1239 148 19 212 217 224 231 235 249 254 280 290 294 30 300 324 325 355 372 385 387 401 421 427 43 443 448 465 467 555 589 615 620 623 66 690 71 72 720 729 758 785 791 798 83 838 843 845, 108 109 110 117 118 119 147 148 149 154 155 156 164 165 166 49 50 51 52 53 66 67 68 69 81 82 83 84 85,29,False,4,c,d,o,v
2maj_5maj_7maj_10maj_,4,14, 1031 1142 150 183 198 21 300 385 6 656 794 81 821 834, 105 128 187 32 33 54 55 71 72,9,False,2,c,v
2maj_5maj_9min_8maj_,4,32, 1063 1094 112 119 1210 1228 1270 145 157 19 198 253 355 371 401 434 465 484 511 54 543 549 568 571 572 587 620 623 67 749 964 992, 113 126 150 161 162 194 205 27 56 79,10,False,3,c,i,v
2maj_7maj_3maj_,3,3, 1062 414 699, 38 65,2,False,1,c
2min_10maj_,2,21, 1073 1173 196 217 246 294 320 478 479 481 51 542 608 62 629 749 797 812 932 945 947, 152 153 195 206 60,5,False,2,c,v
2min_3maj_7maj_,3,3, 1203 397 747, 196,1,False,1,c
2min_5maj_5maj_,3,5, 369 729 767 872 917, 207,1,False,1,v
2min_5sus4_5maj_,3,3, 1281 131 309, 200,1,False,1,c
2sus4(b7|9)_10maj6(9)_,2,1, 736, 188,1,False,1,u
3maj_9min(11)_,2,2, 415 920, 190 26,2,False,1,c
3maj_9min_,2,6, 112 1270 1292 228 250 404, 107,1,False,1,d
3maj_9min_8maj_7maj_9min_,5,3, 310 814 902, 182,1,False,1,v
4min7_10maj(11)_10maj_,3,1, 555, 211,1,False,1,c
51_71_,2,3, 1106 594 777, 1,1,False,1,c
57_77_,2,8, 1149 115 1168 1193 356 391 510 890, 15,1,False,1,v
57_77_77_107_77_,5,14, 1125 1134 115 1193 1247 214 289 314 383 425 455 510 672 792, 10 16,2,False,2,l,v
57_7min7_,2,7, 483 490 691 70 748 834 925, 212 213 214 6 7 8,6,False,1,c
5maj_5maj_5maj_9min_,4,5, 109 330 546 842 843, 198,1,False,1,c
5maj_5maj_7maj_77_,4,15, 1072 1107 1116 1141 1248 160 167 207 399 472 570 731 787 875 993, 169 18 88,3,False,2,c,v
5maj_5maj_7maj_77_5maj_77_,6,6, 1116 1194 570 787 788 822, 176,1,False,1,v
5maj_5maj_7maj_7maj_,4,15, 1228 1281 191 23 347 41 555 559 560 591 71 798 809 905 941, 120 70 76 77 78 91 97 98,8,False,2,c,o
5maj_7maj_,2,37, 1009 1018 1061 1071 1100 1113 1117 1139 1177 139 147 191 203 207 229 234 245 246 254 293 318 330 41 452 468 477 492 559 560 619 662 674 752 879 900 91 968, 111 115 157 158 159 171 172 173 73 74 75 92 93 94,14,False,4,c,d,l,v
5maj_7maj_5maj_7maj_7maj_10maj_7maj_,7,10, 10 1135 139 187 215 29 560 561 707 995, 35,1,False,1,c
5maj_7maj_7maj_10maj_7maj_,5,16, 1135 12 162 187 246 366 484 560 610 67 699 707 852 948 952 995, 101 160 174,3,False,2,c,v
5maj_7min7_,2,3, 1292 384 961, 216,1,False,1,v
5min_7min_,2,6, 1082 1101 40 433 482 637, 199,1,False,1,c
77_10maj_7maj_,3,14, 1287 235 346 358 366 430 432 706 748 773 779 886 900 993, 13 14 170 175 9,5,False,3,d,o,v
77_77_107_,3,14, 1125 1134 115 1193 1247 214 289 314 383 425 455 510 672 792, 11 12 21,3,False,2,l,v
7maj_7maj_10maj_,3,50, 100 1002 1034 107 1086 1177 12 1208 1249 1265 128 130 162 187 206 209 246 271 300 317 366 389 406 484 50 53 545 555 560 589 621 655 67 675 690 699 71 74 75 762 810 852 886 889 901 946 948 952 991 995, 102 103 104 112 114 116 121 130 131 132 133 134 177 178 179 180 181 183 184 185 186 36 37 95 96,25,False,5,c,d,l,o,v
7maj_9min7_10maj(11)_10maj_,4,1, 555, 29,1,False,1,c
7maj_9min_10maj_10maj_,4,3, 1011 1177 952, 99,1,False,1,c
