Abstract Loop,Total Files,|,Total in File,keyMode,triadMode,formMode,beatMode,File
0maj_0min7_3maj_7maj_2min_,6,|,10,False,7,False,False,entropyStats_ngrams-entropy_noKey_TriadMode7_BeatModeFalse_formModeFalse_1.1_0.25.csv
0maj_0min7_3maj_7maj_2min_,6,|,10,False,7,False,True,entropyStats_ngrams-entropy_noKey_TriadMode7_BeatModeTrue_formModeFalse_0.9_0.25.csv
0maj_0min7_3maj_7maj_2min_,6,|,10,False,7,False,True,entropyStats_ngrams-entropy_noKey_TriadMode7_BeatModeTrue_formModeFalse_1.0_0.25.csv
0maj_0min7_3maj_7maj_2min_,6,|,10,False,7,False,False,entropyStats_ngrams-entropy_noKey_TriadMode7_BeatModeFalse_formModeFalse_1.0_0.25.csv
0maj_0min7_3maj_7maj_2min_,6,|,10,False,7,False,False,entropyStats_ngrams-entropy_noKey_TriadMode7_BeatModeFalse_formModeFalse_0.9_0.25.csv
0maj_0min7_3maj_7maj_2min_,6,|,10,False,7,False,True,entropyStats_ngrams-entropy_noKey_TriadMode7_BeatModeTrue_formModeFalse_1.1_0.25.csv
0min7_0min7_7aug(b7)_5min9_,6,|,36,False,1,False,True,entropyStats_ngrams-entropy_noKey_TriadMode1_BeatModeTrue_formModeFalse_0.8_0.25.csv
0min7_0min7_7aug(b7)_5min9_,6,|,36,False,1,False,True,entropyStats_ngrams-entropy_noKey_TriadMode1_BeatModeTrue_formModeFalse_0.5_0.25.csv
0min7_0min7_7aug(b7)_5min9_,6,|,36,False,1,False,True,entropyStats_ngrams-entropy_noKey_TriadMode1_BeatModeTrue_formModeFalse_1.0_0.25.csv
0min7_0min7_7aug(b7)_5min9_,6,|,36,False,1,False,True,entropyStats_ngrams-entropy_noKey_TriadMode1_BeatModeTrue_formModeFalse_0.7_0.25.csv
0min7_0min7_7aug(b7)_5min9_,6,|,36,False,1,False,True,entropyStats_ngrams-entropy_noKey_TriadMode1_BeatModeTrue_formModeFalse_0.9_0.25.csv
0min7_0min7_7aug(b7)_5min9_,6,|,36,False,1,False,True,entropyStats_ngrams-entropy_noKey_TriadMode1_BeatModeTrue_formModeFalse_0.6_0.25.csv
5maj_10maj_11min_10min_,3,|,47,False,0,True,False,entropyStats_ngrams-entropy_noKey_TriadMode0_BeatModeFalse_formModeTrue_1.5_0.25.csv
5maj_10maj_11min_10min_,3,|,47,False,0,True,False,entropyStats_ngrams-entropy_noKey_TriadMode0_BeatModeFalse_formModeTrue_1.3_0.25.csv
5maj_10maj_11min_10min_,3,|,47,False,0,True,False,entropyStats_ngrams-entropy_noKey_TriadMode0_BeatModeFalse_formModeTrue_1.4_0.25.csv
7maj_9min7_10maj_10maj_,8,|,0,False,7,True,False,entropyStats_ngrams-entropy_noKey_TriadMode7_BeatModeFalse_formModeTrue_1.5_0.25.csv
7maj_9min7_10maj_10maj_,8,|,0,False,7,True,True,entropyStats_ngrams-entropy_noKey_TriadMode7_BeatModeTrue_formModeTrue_1.4_0.25.csv
7maj_9min7_10maj_10maj_,8,|,0,False,7,True,True,entropyStats_ngrams-entropy_noKey_TriadMode7_BeatModeTrue_formModeTrue_0.9_0.25.csv
7maj_9min7_10maj_10maj_,8,|,0,False,7,True,True,entropyStats_ngrams-entropy_noKey_TriadMode7_BeatModeTrue_formModeTrue_1.3_0.25.csv
7maj_9min7_10maj_10maj_,8,|,0,False,7,True,True,entropyStats_ngrams-entropy_noKey_TriadMode7_BeatModeTrue_formModeTrue_1.0_0.25.csv
7maj_9min7_10maj_10maj_,8,|,0,False,7,True,True,entropyStats_ngrams-entropy_noKey_TriadMode7_BeatModeTrue_formModeTrue_1.1_0.25.csv
7maj_9min7_10maj_10maj_,8,|,0,False,7,True,True,entropyStats_ngrams-entropy_noKey_TriadMode7_BeatModeTrue_formModeTrue_1.2_0.25.csv
7maj_9min7_10maj_10maj_,8,|,0,False,7,True,False,entropyStats_ngrams-entropy_noKey_TriadMode7_BeatModeFalse_formModeTrue_1.4_0.25.csv
3maj7_4maj7_5min7_,4,|,20,False,7,False,False,entropyStats_ngrams-entropy_noKey_TriadMode7_BeatModeFalse_formModeFalse_0.6_0.25.csv
3maj7_4maj7_5min7_,4,|,20,False,7,False,True,entropyStats_ngrams-entropy_noKey_TriadMode7_BeatModeTrue_formModeFalse_0.5_0.25.csv
3maj7_4maj7_5min7_,4,|,20,False,7,False,False,entropyStats_ngrams-entropy_noKey_TriadMode7_BeatModeFalse_formModeFalse_0.5_0.25.csv
3maj7_4maj7_5min7_,4,|,20,False,7,False,True,entropyStats_ngrams-entropy_noKey_TriadMode7_BeatModeTrue_formModeFalse_0.6_0.25.csv
2sus_4maj6_6maj6_,8,|,20,False,7,False,False,entropyStats_ngrams-entropy_noKey_TriadMode7_BeatModeFalse_formModeFalse_0.6_0.25.csv
2sus_4maj6_6maj6_,8,|,20,False,7,False,False,entropyStats_ngrams-entropy_noKey_TriadMode7_BeatModeFalse_formModeFalse_0.5_0.25.csv
2sus_4maj6_6maj6_,8,|,20,False,7,True,True,entropyStats_ngrams-entropy_noKey_TriadMode7_BeatModeTrue_formModeTrue_0.5_0.25.csv
2sus_4maj6_6maj6_,8,|,20,False,7,True,False,entropyStats_ngrams-entropy_noKey_TriadMode7_BeatModeFalse_formModeTrue_0.6_0.25.csv
2sus_4maj6_6maj6_,8,|,20,False,7,True,False,entropyStats_ngrams-entropy_noKey_TriadMode7_BeatModeFalse_formModeTrue_0.5_0.25.csv
2sus_4maj6_6maj6_,8,|,20,False,7,False,True,entropyStats_ngrams-entropy_noKey_TriadMode7_BeatModeTrue_formModeFalse_0.5_0.25.csv
2sus_4maj6_6maj6_,8,|,20,False,7,True,True,entropyStats_ngrams-entropy_noKey_TriadMode7_BeatModeTrue_formModeTrue_0.6_0.25.csv
2sus_4maj6_6maj6_,8,|,20,False,7,False,True,entropyStats_ngrams-entropy_noKey_TriadMode7_BeatModeTrue_formModeFalse_0.6_0.25.csv
0maj_9maj_5maj_6maj_11min7_0no3_7maj_1maj_9maj_,10,|,10,False,7,False,True,entropyStats_ngrams-entropy_noKey_TriadMode7_BeatModeTrue_formModeFalse_0.7_0.25.csv
0maj_9maj_5maj_6maj_11min7_0no3_7maj_1maj_9maj_,10,|,10,False,7,False,True,entropyStats_ngrams-entropy_noKey_TriadMode7_BeatModeTrue_formModeFalse_0.8_0.25.csv
0maj_9maj_5maj_6maj_11min7_0no3_7maj_1maj_9maj_,10,|,10,False,7,True,True,entropyStats_ngrams-entropy_noKey_TriadMode7_BeatModeTrue_formModeTrue_0.5_0.25.csv
0maj_9maj_5maj_6maj_11min7_0no3_7maj_1maj_9maj_,10,|,10,False,7,False,True,entropyStats_ngrams-entropy_noKey_TriadMode7_BeatModeTrue_formModeFalse_0.9_0.25.csv
0maj_9maj_5maj_6maj_11min7_0no3_7maj_1maj_9maj_,10,|,10,False,7,True,True,entropyStats_ngrams-entropy_noKey_TriadMode7_BeatModeTrue_formModeTrue_0.7_0.25.csv
0maj_9maj_5maj_6maj_11min7_0no3_7maj_1maj_9maj_,10,|,10,False,7,True,True,entropyStats_ngrams-entropy_noKey_TriadMode7_BeatModeTrue_formModeTrue_0.8_0.25.csv
0maj_9maj_5maj_6maj_11min7_0no3_7maj_1maj_9maj_,10,|,10,False,7,False,True,entropyStats_ngrams-entropy_noKey_TriadMode7_BeatModeTrue_formModeFalse_0.6_0.25.csv
0maj_9maj_5maj_6maj_11min7_0no3_7maj_1maj_9maj_,10,|,10,False,7,True,True,entropyStats_ngrams-entropy_noKey_TriadMode7_BeatModeTrue_formModeTrue_0.9_0.25.csv
0maj_9maj_5maj_6maj_11min7_0no3_7maj_1maj_9maj_,10,|,10,False,7,False,True,entropyStats_ngrams-entropy_noKey_TriadMode7_BeatModeTrue_formModeFalse_0.5_0.25.csv
0maj_9maj_5maj_6maj_11min7_0no3_7maj_1maj_9maj_,10,|,10,False,7,True,True,entropyStats_ngrams-entropy_noKey_TriadMode7_BeatModeTrue_formModeTrue_0.6_0.25.csv
2aug_5min_8maj_9min_,4,|,8,False,0,False,True,entropyStats_ngrams-entropy_noKey_TriadMode0_BeatModeTrue_formModeFalse_0.6_0.25.csv
2aug_5min_8maj_9min_,4,|,8,False,0,False,False,entropyStats_ngrams-entropy_noKey_TriadMode0_BeatModeFalse_formModeFalse_0.6_0.25.csv
2aug_5min_8maj_9min_,4,|,8,False,0,False,False,entropyStats_ngrams-entropy_noKey_TriadMode0_BeatModeFalse_formModeFalse_0.5_0.25.csv
2aug_5min_8maj_9min_,4,|,8,False,0,False,True,entropyStats_ngrams-entropy_noKey_TriadMode0_BeatModeTrue_formModeFalse_0.5_0.25.csv
3maj_9maj_,46,|,8,False,1,False,True,entropyStats_ngrams-entropy_noKey_TriadMode1_BeatModeTrue_formModeFalse_0.8_0.25.csv
3maj_9maj_,46,|,11,False,1,False,False,entropyStats_ngrams-entropy_noKey_TriadMode1_BeatModeFalse_formModeFalse_0.7_0.25.csv
3maj_9maj_,46,|,8,False,1,False,True,entropyStats_ngrams-entropy_noKey_TriadMode1_BeatModeTrue_formModeFalse_1.0_0.25.csv
3maj_9maj_,46,|,11,False,1,False,False,entropyStats_ngrams-entropy_noKey_TriadMode1_BeatModeFalse_formModeFalse_1.3_0.25.csv
3maj_9maj_,46,|,12,False,0,False,False,entropyStats_ngrams-entropy_noKey_TriadMode0_BeatModeFalse_formModeFalse_0.5_0.25.csv
3maj_9maj_,46,|,11,False,7,False,False,entropyStats_ngrams-entropy_noKey_TriadMode7_BeatModeFalse_formModeFalse_1.2_0.25.csv
3maj_9maj_,46,|,11,False,7,False,False,entropyStats_ngrams-entropy_noKey_TriadMode7_BeatModeFalse_formModeFalse_0.6_0.25.csv
3maj_9maj_,46,|,11,False,1,False,False,entropyStats_ngrams-entropy_noKey_TriadMode1_BeatModeFalse_formModeFalse_1.4_0.25.csv
3maj_9maj_,46,|,14,False,0,False,False,entropyStats_ngrams-entropy_noKey_TriadMode0_BeatModeFalse_formModeFalse_1.2_0.25.csv
3maj_9maj_,46,|,14,False,0,False,False,entropyStats_ngrams-entropy_noKey_TriadMode0_BeatModeFalse_formModeFalse_0.8_0.25.csv
3maj_9maj_,46,|,12,False,0,False,True,entropyStats_ngrams-entropy_noKey_TriadMode0_BeatModeTrue_formModeFalse_0.6_0.25.csv
3maj_9maj_,46,|,12,False,0,False,True,entropyStats_ngrams-entropy_noKey_TriadMode0_BeatModeTrue_formModeFalse_0.9_0.25.csv
3maj_9maj_,46,|,11,False,1,False,False,entropyStats_ngrams-entropy_noKey_TriadMode1_BeatModeFalse_formModeFalse_1.0_0.25.csv
3maj_9maj_,46,|,12,False,0,False,True,entropyStats_ngrams-entropy_noKey_TriadMode0_BeatModeTrue_formModeFalse_0.5_0.25.csv
3maj_9maj_,46,|,12,False,0,False,True,entropyStats_ngrams-entropy_noKey_TriadMode0_BeatModeTrue_formModeFalse_0.7_0.25.csv
3maj_9maj_,46,|,15,False,0,False,False,entropyStats_ngrams-entropy_noKey_TriadMode0_BeatModeFalse_formModeFalse_1.4_0.25.csv
3maj_9maj_,46,|,11,False,1,False,False,entropyStats_ngrams-entropy_noKey_TriadMode1_BeatModeFalse_formModeFalse_0.9_0.25.csv
3maj_9maj_,46,|,14,False,0,False,False,entropyStats_ngrams-entropy_noKey_TriadMode0_BeatModeFalse_formModeFalse_1.1_0.25.csv
3maj_9maj_,46,|,12,False,0,False,True,entropyStats_ngrams-entropy_noKey_TriadMode0_BeatModeTrue_formModeFalse_1.1_0.25.csv
3maj_9maj_,46,|,11,False,7,False,False,entropyStats_ngrams-entropy_noKey_TriadMode7_BeatModeFalse_formModeFalse_1.0_0.25.csv
3maj_9maj_,46,|,11,False,7,False,False,entropyStats_ngrams-entropy_noKey_TriadMode7_BeatModeFalse_formModeFalse_0.7_0.25.csv
3maj_9maj_,46,|,12,False,0,False,True,entropyStats_ngrams-entropy_noKey_TriadMode0_BeatModeTrue_formModeFalse_1.3_0.25.csv
3maj_9maj_,46,|,8,False,7,False,True,entropyStats_ngrams-entropy_noKey_TriadMode7_BeatModeTrue_formModeFalse_0.7_0.25.csv
3maj_9maj_,46,|,11,False,1,False,False,entropyStats_ngrams-entropy_noKey_TriadMode1_BeatModeFalse_formModeFalse_1.2_0.25.csv
3maj_9maj_,46,|,8,False,7,False,True,entropyStats_ngrams-entropy_noKey_TriadMode7_BeatModeTrue_formModeFalse_0.9_0.25.csv
3maj_9maj_,46,|,8,False,7,False,True,entropyStats_ngrams-entropy_noKey_TriadMode7_BeatModeTrue_formModeFalse_1.0_0.25.csv
3maj_9maj_,46,|,14,False,0,False,False,entropyStats_ngrams-entropy_noKey_TriadMode0_BeatModeFalse_formModeFalse_0.6_0.25.csv
3maj_9maj_,46,|,22,False,0,False,True,entropyStats_ngrams-entropy_noKey_TriadMode0_BeatModeTrue_formModeFalse_1.0_0.25.csv
3maj_9maj_,46,|,11,False,7,False,False,entropyStats_ngrams-entropy_noKey_TriadMode7_BeatModeFalse_formModeFalse_1.3_0.25.csv
3maj_9maj_,46,|,11,False,1,False,False,entropyStats_ngrams-entropy_noKey_TriadMode1_BeatModeFalse_formModeFalse_1.1_0.25.csv
3maj_9maj_,46,|,8,False,1,False,True,entropyStats_ngrams-entropy_noKey_TriadMode1_BeatModeTrue_formModeFalse_0.7_0.25.csv
3maj_9maj_,46,|,11,False,7,False,False,entropyStats_ngrams-entropy_noKey_TriadMode7_BeatModeFalse_formModeFalse_0.9_0.25.csv
3maj_9maj_,46,|,15,False,0,False,False,entropyStats_ngrams-entropy_noKey_TriadMode0_BeatModeFalse_formModeFalse_1.5_0.25.csv
3maj_9maj_,46,|,11,False,1,False,False,entropyStats_ngrams-entropy_noKey_TriadMode1_BeatModeFalse_formModeFalse_0.8_0.25.csv
3maj_9maj_,46,|,8,False,1,False,True,entropyStats_ngrams-entropy_noKey_TriadMode1_BeatModeTrue_formModeFalse_0.9_0.25.csv
3maj_9maj_,46,|,11,False,7,False,False,entropyStats_ngrams-entropy_noKey_TriadMode7_BeatModeFalse_formModeFalse_1.1_0.25.csv
3maj_9maj_,46,|,11,False,1,False,False,entropyStats_ngrams-entropy_noKey_TriadMode1_BeatModeFalse_formModeFalse_0.6_0.25.csv
3maj_9maj_,46,|,11,False,7,False,False,entropyStats_ngrams-entropy_noKey_TriadMode7_BeatModeFalse_formModeFalse_1.4_0.25.csv
3maj_9maj_,46,|,14,False,0,False,False,entropyStats_ngrams-entropy_noKey_TriadMode0_BeatModeFalse_formModeFalse_0.7_0.25.csv
3maj_9maj_,46,|,12,False,0,False,True,entropyStats_ngrams-entropy_noKey_TriadMode0_BeatModeTrue_formModeFalse_0.8_0.25.csv
3maj_9maj_,46,|,8,False,7,False,True,entropyStats_ngrams-entropy_noKey_TriadMode7_BeatModeTrue_formModeFalse_0.8_0.25.csv
3maj_9maj_,46,|,12,False,0,False,True,entropyStats_ngrams-entropy_noKey_TriadMode0_BeatModeTrue_formModeFalse_1.2_0.25.csv
3maj_9maj_,46,|,14,False,0,False,False,entropyStats_ngrams-entropy_noKey_TriadMode0_BeatModeFalse_formModeFalse_0.9_0.25.csv
3maj_9maj_,46,|,14,False,0,False,False,entropyStats_ngrams-entropy_noKey_TriadMode0_BeatModeFalse_formModeFalse_1.3_0.25.csv
3maj_9maj_,46,|,14,False,0,False,False,entropyStats_ngrams-entropy_noKey_TriadMode0_BeatModeFalse_formModeFalse_1.0_0.25.csv
3maj_9maj_,46,|,11,False,7,False,False,entropyStats_ngrams-entropy_noKey_TriadMode7_BeatModeFalse_formModeFalse_0.8_0.25.csv
0maj_0mct_0mct_,8,|,13,False,0,False,True,entropyStats_ngrams-entropy_noKey_TriadMode0_BeatModeTrue_formModeFalse_0.6_0.25.csv
0maj_0mct_0mct_,8,|,18,False,0,False,True,entropyStats_ngrams-entropy_noKey_TriadMode0_BeatModeTrue_formModeFalse_0.9_0.25.csv
0maj_0mct_0mct_,8,|,18,False,0,False,True,entropyStats_ngrams-entropy_noKey_TriadMode0_BeatModeTrue_formModeFalse_1.2_0.25.csv
0maj_0mct_0mct_,8,|,18,False,0,False,True,entropyStats_ngrams-entropy_noKey_TriadMode0_BeatModeTrue_formModeFalse_0.8_0.25.csv
0maj_0mct_0mct_,8,|,18,False,0,False,True,entropyStats_ngrams-entropy_noKey_TriadMode0_BeatModeTrue_formModeFalse_1.0_0.25.csv
0maj_0mct_0mct_,8,|,18,False,0,False,True,entropyStats_ngrams-entropy_noKey_TriadMode0_BeatModeTrue_formModeFalse_1.1_0.25.csv
0maj_0mct_0mct_,8,|,13,False,0,False,True,entropyStats_ngrams-entropy_noKey_TriadMode0_BeatModeTrue_formModeFalse_0.5_0.25.csv
0maj_0mct_0mct_,8,|,13,False,0,False,True,entropyStats_ngrams-entropy_noKey_TriadMode0_BeatModeTrue_formModeFalse_0.7_0.25.csv
7maj_7maj_10maj7_,16,|,12,False,7,True,True,entropyStats_ngrams-entropy_noKey_TriadMode7_BeatModeTrue_formModeTrue_0.7_0.25.csv
7maj_7maj_10maj7_,16,|,12,False,7,True,True,entropyStats_ngrams-entropy_noKey_TriadMode7_BeatModeTrue_formModeTrue_0.5_0.25.csv
7maj_7maj_10maj7_,16,|,12,False,1,True,True,entropyStats_ngrams-entropy_noKey_TriadMode1_BeatModeTrue_formModeTrue_0.8_0.25.csv
7maj_7maj_10maj7_,16,|,12,False,7,True,True,entropyStats_ngrams-entropy_noKey_TriadMode7_BeatModeTrue_formModeTrue_0.8_0.25.csv
7maj_7maj_10maj7_,16,|,12,False,1,True,True,entropyStats_ngrams-entropy_noKey_TriadMode1_BeatModeTrue_formModeTrue_1.1_0.25.csv
7maj_7maj_10maj7_,16,|,12,False,7,True,True,entropyStats_ngrams-entropy_noKey_TriadMode7_BeatModeTrue_formModeTrue_0.6_0.25.csv
7maj_7maj_10maj7_,16,|,12,False,1,True,True,entropyStats_ngrams-entropy_noKey_TriadMode1_BeatModeTrue_formModeTrue_0.5_0.25.csv
7maj_7maj_10maj7_,16,|,12,False,7,True,True,entropyStats_ngrams-entropy_noKey_TriadMode7_BeatModeTrue_formModeTrue_0.9_0.25.csv
7maj_7maj_10maj7_,16,|,12,False,1,True,True,entropyStats_ngrams-entropy_noKey_TriadMode1_BeatModeTrue_formModeTrue_0.9_0.25.csv
7maj_7maj_10maj7_,16,|,12,False,1,True,True,entropyStats_ngrams-entropy_noKey_TriadMode1_BeatModeTrue_formModeTrue_0.6_0.25.csv
7maj_7maj_10maj7_,16,|,12,False,1,True,True,entropyStats_ngrams-entropy_noKey_TriadMode1_BeatModeTrue_formModeTrue_1.0_0.25.csv
7maj_7maj_10maj7_,16,|,12,False,7,True,True,entropyStats_ngrams-entropy_noKey_TriadMode7_BeatModeTrue_formModeTrue_1.0_0.25.csv
7maj_7maj_10maj7_,16,|,12,False,7,True,True,entropyStats_ngrams-entropy_noKey_TriadMode7_BeatModeTrue_formModeTrue_1.1_0.25.csv
7maj_7maj_10maj7_,16,|,12,False,1,True,True,entropyStats_ngrams-entropy_noKey_TriadMode1_BeatModeTrue_formModeTrue_1.2_0.25.csv
7maj_7maj_10maj7_,16,|,12,False,7,True,True,entropyStats_ngrams-entropy_noKey_TriadMode7_BeatModeTrue_formModeTrue_1.2_0.25.csv
7maj_7maj_10maj7_,16,|,12,False,1,True,True,entropyStats_ngrams-entropy_noKey_TriadMode1_BeatModeTrue_formModeTrue_0.7_0.25.csv
2maj_5maj_2min_3maj_,97,|,49,False,1,True,False,entropyStats_ngrams-entropy_noKey_TriadMode1_BeatModeFalse_formModeTrue_1.2_0.25.csv
2maj_5maj_2min_3maj_,97,|,18,False,1,False,False,entropyStats_ngrams-entropy_noKey_TriadMode1_BeatModeFalse_formModeFalse_0.5_0.25.csv
2maj_5maj_2min_3maj_,97,|,36,False,0,False,True,entropyStats_ngrams-entropy_noKey_TriadMode0_BeatModeTrue_formModeFalse_1.5_0.25.csv
2maj_5maj_2min_3maj_,97,|,73,False,0,True,False,entropyStats_ngrams-entropy_noKey_TriadMode0_BeatModeFalse_formModeTrue_0.8_0.25.csv
2maj_5maj_2min_3maj_,97,|,36,False,0,True,True,entropyStats_ngrams-entropy_noKey_TriadMode0_BeatModeTrue_formModeTrue_1.0_0.25.csv
2maj_5maj_2min_3maj_,97,|,35,False,1,False,False,entropyStats_ngrams-entropy_noKey_TriadMode1_BeatModeFalse_formModeFalse_1.3_0.25.csv
2maj_5maj_2min_3maj_,97,|,46,False,0,False,False,entropyStats_ngrams-entropy_noKey_TriadMode0_BeatModeFalse_formModeFalse_0.5_0.25.csv
2maj_5maj_2min_3maj_,97,|,36,False,0,True,True,entropyStats_ngrams-entropy_noKey_TriadMode0_BeatModeTrue_formModeTrue_1.2_0.25.csv
2maj_5maj_2min_3maj_,97,|,36,False,0,True,True,entropyStats_ngrams-entropy_noKey_TriadMode0_BeatModeTrue_formModeTrue_0.7_0.25.csv
2maj_5maj_2min_3maj_,97,|,35,False,7,False,False,entropyStats_ngrams-entropy_noKey_TriadMode7_BeatModeFalse_formModeFalse_1.2_0.25.csv
2maj_5maj_2min_3maj_,97,|,18,False,7,False,False,entropyStats_ngrams-entropy_noKey_TriadMode7_BeatModeFalse_formModeFalse_0.5_0.25.csv
2maj_5maj_2min_3maj_,97,|,68,False,0,False,False,entropyStats_ngrams-entropy_noKey_TriadMode0_BeatModeFalse_formModeFalse_0.8_0.25.csv
2maj_5maj_2min_3maj_,97,|,18,False,1,True,True,entropyStats_ngrams-entropy_noKey_TriadMode1_BeatModeTrue_formModeTrue_0.8_0.25.csv
2maj_5maj_2min_3maj_,97,|,36,False,0,True,True,entropyStats_ngrams-entropy_noKey_TriadMode0_BeatModeTrue_formModeTrue_0.5_0.25.csv
2maj_5maj_2min_3maj_,97,|,28,False,0,False,True,entropyStats_ngrams-entropy_noKey_TriadMode0_BeatModeTrue_formModeFalse_0.5_0.25.csv
2maj_5maj_2min_3maj_,97,|,28,False,0,False,True,entropyStats_ngrams-entropy_noKey_TriadMode0_BeatModeTrue_formModeFalse_0.7_0.25.csv
2maj_5maj_2min_3maj_,97,|,18,False,1,True,True,entropyStats_ngrams-entropy_noKey_TriadMode1_BeatModeTrue_formModeTrue_0.5_0.25.csv
2maj_5maj_2min_3maj_,97,|,49,False,1,True,False,entropyStats_ngrams-entropy_noKey_TriadMode1_BeatModeFalse_formModeTrue_1.0_0.25.csv
2maj_5maj_2min_3maj_,97,|,18,False,7,True,True,entropyStats_ngrams-entropy_noKey_TriadMode7_BeatModeTrue_formModeTrue_0.9_0.25.csv
2maj_5maj_2min_3maj_,97,|,35,False,0,True,False,entropyStats_ngrams-entropy_noKey_TriadMode0_BeatModeFalse_formModeTrue_1.2_0.25.csv
2maj_5maj_2min_3maj_,97,|,36,False,0,False,True,entropyStats_ngrams-entropy_noKey_TriadMode0_BeatModeTrue_formModeFalse_1.1_0.25.csv
2maj_5maj_2min_3maj_,97,|,63,False,0,False,False,entropyStats_ngrams-entropy_noKey_TriadMode0_BeatModeFalse_formModeFalse_1.1_0.25.csv
2maj_5maj_2min_3maj_,97,|,18,False,1,True,True,entropyStats_ngrams-entropy_noKey_TriadMode1_BeatModeTrue_formModeTrue_0.7_0.25.csv
2maj_5maj_2min_3maj_,97,|,10,False,1,False,True,entropyStats_ngrams-entropy_noKey_TriadMode1_BeatModeTrue_formModeFalse_0.5_0.25.csv
2maj_5maj_2min_3maj_,97,|,36,False,0,True,True,entropyStats_ngrams-entropy_noKey_TriadMode0_BeatModeTrue_formModeTrue_0.6_0.25.csv
2maj_5maj_2min_3maj_,97,|,35,False,1,False,False,entropyStats_ngrams-entropy_noKey_TriadMode1_BeatModeFalse_formModeFalse_1.2_0.25.csv
2maj_5maj_2min_3maj_,97,|,18,False,7,True,False,entropyStats_ngrams-entropy_noKey_TriadMode7_BeatModeFalse_formModeTrue_0.6_0.25.csv
2maj_5maj_2min_3maj_,97,|,35,False,7,False,False,entropyStats_ngrams-entropy_noKey_TriadMode7_BeatModeFalse_formModeFalse_1.3_0.25.csv
2maj_5maj_2min_3maj_,97,|,27,False,1,False,False,entropyStats_ngrams-entropy_noKey_TriadMode1_BeatModeFalse_formModeFalse_0.8_0.25.csv
2maj_5maj_2min_3maj_,97,|,18,False,7,True,False,entropyStats_ngrams-entropy_noKey_TriadMode7_BeatModeFalse_formModeTrue_0.7_0.25.csv
